date,A. First App Open - Total,B. Read Oboarding - Total,C. Sign Up - Total,D. Load Topic - Total,E. Topic Choosed - Total,F. Load Learning Page - Total,G. Sub Topic Choosed - Total,H. Read Material - Total,I. Correct Answer Quiz - Total,J. Finish Hooray - Total,K. Exercise Choosed - Total,L. Exercise Choosed - Total,M. Correct Answer Exercise - Total,N. Finish Hooray - Total
4/26/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/27/2022,1,0,0,2,1,1,1,1,3,1,0,0,0,1
4/28/2022,6,11,3,8,8,8,12,12,25,12,6,6,3,12
4/29/2022,1,0,0,2,1,1,0,0,0,0,0,0,0,0
4/30/2022,3,3,1,5,6,6,7,7,14,8,4,4,3,8
5/1/2022,1,3,0,2,3,3,2,2,6,4,3,3,3,4
5/2/2022,2,0,0,3,0,0,0,0,0,0,0,0,0,0
5/3/2022,0,0,0,1,1,1,0,0,0,0,0,0,0,0
5/4/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/5/2022,1,0,0,3,7,7,5,5,8,6,4,4,3,6
5/6/2022,0,0,0,2,18,18,0,0,0,2,2,2,2,2
5/7/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/8/2022,1,3,2,2,2,2,5,5,15,9,6,6,4,9
5/9/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/10/2022,2,12,1,2,1,1,1,1,5,0,0,0,0,0
5/11/2022,2,1,0,4,4,4,4,4,5,0,0,0,0,0
5/12/2022,3,12,5,10,24,24,13,13,14,10,9,9,5,10
5/13/2022,0,0,3,7,22,22,32,32,37,29,23,23,16,29
5/14/2022,0,0,0,2,5,5,2,2,3,4,5,5,3,4
5/15/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/16/2022,3,7,1,2,2,2,2,2,0,0,0,0,0,0
5/17/2022,0,0,0,1,0,0,0,0,3,2,4,4,1,2
5/18/2022,1,0,0,2,1,1,0,0,0,0,0,0,0,0
5/19/2022,1,3,1,4,2,2,1,1,0,0,1,1,0,0
5/20/2022,1,0,0,4,2,2,1,1,3,5,5,5,4,5
5/21/2022,0,0,0,1,6,6,5,5,2,1,0,0,0,1
5/22/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/23/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/24/2022,0,0,0,4,2,2,1,1,3,4,4,4,3,4
5/25/2022,2,6,2,3,4,4,2,2,3,1,0,0,0,1
5/26/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/27/2022,2,5,1,10,7,7,7,7,0,0,0,0,0,0
5/28/2022,0,0,0,1,2,2,2,2,3,4,3,3,3,4
5/29/2022,1,3,2,1,2,2,2,2,7,5,3,3,3,5
5/30/2022,4,11,3,7,8,8,8,8,13,11,12,12,7,11
5/31/2022,2,4,3,4,4,4,5,5,11,5,5,5,3,5
6/1/2022,2,0,0,5,12,12,9,9,5,5,4,4,3,5
6/2/2022,1,6,2,4,3,3,6,6,11,7,4,4,3,7
6/3/2022,1,2,0,4,4,4,11,11,24,12,5,5,3,12
6/4/2022,0,3,1,1,1,1,1,1,0,0,0,0,0,0
6/5/2022,0,0,0,5,2,2,1,1,0,0,0,0,0,0
6/6/2022,1,1,0,1,1,1,1,1,0,0,0,0,0,0
6/7/2022,1,8,1,8,10,10,9,9,20,13,9,9,6,13
6/8/2022,0,0,0,3,4,4,6,6,11,9,6,6,5,9
6/9/2022,1,3,3,2,6,6,2,2,3,4,4,4,3,4
6/10/2022,0,0,0,1,2,2,0,0,0,0,0,0,0,0
6/11/2022,2,0,0,3,1,1,0,0,0,3,4,4,3,3
6/12/2022,0,0,0,1,2,2,4,4,5,2,0,0,0,2
6/13/2022,1,3,2,2,2,2,3,3,7,1,1,1,0,1
6/14/2022,2,3,3,2,2,2,5,5,14,9,5,5,4,9
6/15/2022,1,3,1,2,1,1,1,1,3,1,0,0,0,1
6/16/2022,1,3,4,4,7,7,12,12,17,6,4,4,2,6
