Bulan,A. First App Open - Total,B. Read Oboarding - Total,C. Sign Up - Total,D. Load Topic - Total,E. Topic Choosed - Total,F. Load Learning Page - Total,G. Sub Topic Choosed - Total,H. Read Material - Total,I. Correct Answer Quiz - Total,J. Finish Hooray - Total,K. Exercise Choosed - Total,L. Exercise Choosed - Total,M. Correct Answer Exercise - Total,N. Finish Hooray - Total
April,11,14,4,17,16,16,20,20,42,21,10,10,6,21
Mei,29,70,24,82,129,129,100,100,141,102,89,89,60,102
Juni,27,69,29,160,141,141,133,133,160,98,64,64,43,98
Juli,13,37,18,65,68,68,67,67,104,64,39,39,27,64
Agustus,16,47,10,63,55,55,59,59,88,54,50,50,21,54
September,23,98,26,64,75,75,97,97,198,111,67,67,48,111
Oktober,11,38,25,71,63,63,62,62,116,50,32,32,21,50
November,19,79,26,63,104,104,79,79,135,96,89,89,50,96
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
April,User,Conversion Rate,,,,,,,,,,,,
A. First App Open - Total,11,0%,,,,,,,,,,,,
B. Read Oboarding - Total,14,12727.27%,,,,,,,,,,,,
C. Sign Up - Total,4,2857.14%,,,,,,,,,,,,
D. Load Topic - Total,17,42500.00%,,,,,,,,,,,,
E. Topic Choosed - Total,16,9411.76%,,,,,,,,,,,,
F. Load Learning Page - Total,16,10000.00%,,,,,,,,,,,,
G. Sub Topic Choosed - Total,20,12500.00%,,,,,,,,,,,,
H. Read Material - Total,20,10000.00%,,,,,,,,,,,,
I. Correct Answer Quiz - Total,42,21000.00%,,,,,,,,,,,,
J. Finish Hooray - Total,21,5000.00%,,,,,,,,,,,,
K. Exercise Choosed - Total,10,4761.90%,,,,,,,,,,,,
L. Exercise Choosed - Total,10,10000.00%,,,,,,,,,,,,
M. Correct Answer Exercise - Total,6,6000.00%,,,,,,,,,,,,
N. Finish Hooray - Total,21,35000.00%,,,,,,,,,,,,
